Date (CET),Day Ahead Price,IDA1 Price (EPEX),IDA2 Price (EPEX),IDA3 Price (EPEX),IDA1 Volume (EPEX),IDA2 Volume (EPEX),IDA3 Volume (EPEX)
,EUR/MWh,EUR/MWh,EUR/MWh,EUR/MWh,MW,MW,MW
[01/01/2024 00:00],0.10,19.92,,,507.6,,
[01/01/2024 00:15],0.10,6.90,,,305.6,,
[01/01/2024 00:30],0.10,3.21,,,392.2,,
[01/01/2024 00:45],0.10,0.44,,,548.4,,
[01/01/2024 01:00],0.01,6.24,,,413.2,,
[01/01/2024 01:15],0.01,0.59,,,228.6,,
[01/01/2024 01:30],0.01,-0.05,,,247.2,,
